ID,Sentence,Description,App names,Owner,State,Updated at
251053098,"When Stage changes to Complete move item to Visit Complete","🟢 Moves item to relevant group","","Tyler Manee","active","May 21, 2024, 1:29 AM"
251053091,"When Stage changes to Lost
 set *Actual Close Date to today","🔴 Sets lost date of the opportunity","","Tyler Manee","active","May 21, 2024, 1:29 AM"
254272204,"When Stage changes to Short Term - Hospitalized
 set Hold Date to today",,"","Tyler Manee","active","May 21, 2024, 1:28 AM"
254275645,"When Stage changes to Long Term Hold
 set Hold Date to today and set Send to Outsource Team (only for returning pts) to Send",,"","Tyler Manee","active","May 21, 2024, 1:28 AM"
291693986,"When QA Hold Reason changes to Not on Hold
 set Stage to Return from QA Hold - Schedule",,"","Tyler Manee","active","May 1, 2024, 7:38 PM"
291680238,"When Referring Agency changes notify Tyler Manee",,"","Tyler Manee","active","May 1, 2024, 7:11 PM"
266116830,"When Visit Complete? changes to Seen
 create an item in Appointment log",,"","Tyler Manee","active","Feb 27, 2024, 7:47 PM"
261921150,"When Referring Agency changes notify Tyler Manee",,"","Tyler Manee","active","Feb 13, 2024, 7:23 PM"
261919094,"When an item is created create an item in QA Board and connect QA Board with column",,"","Tyler Manee","active","Feb 13, 2024, 7:18 PM"
254276074,"14 days after Hold Date arrives and only if Stage is Long Term Hold set Send to Outsource Team (only for returning pts) to Send",,"","Tyler Manee","active","Jan 18, 2024, 8:32 PM"
254272977,"3 days after Hold Date arrives and only if Stage is Short Term - Hospitalized set Send to Outsource Team (only for returning pts) to Send",,"","Tyler Manee","active","Jan 18, 2024, 8:31 PM"
251053105,"When an item is created set *Deal Creation Date to today and set hour to current time
","🔴 Sets date of the opportunity","","Tyler Manee","error","Jan 10, 2024, 5:57 AM"
251509756,"When an item is created start Time Since Entry",,"","Tyler Manee","active","Jan 10, 2024, 5:43 AM"
251053095,"When Stage changes to Complete, set *Actual Close Date to current date","🔴 Sets won date of the opportunity","","Tyler Manee","active","Jan 9, 2024, 2:27 AM"
251053120,"When an item is created in this board, connect the item where *Company matches this column in another board by this logic","🔴 Connects to account","","Tyler Manee","active","Jan 9, 2024, 2:27 AM"
251053118,"When an activity/email is created in Emails & Activities,
 set Last update to today
",,"Emails & Activities","Tyler Manee","active","Jan 9, 2024, 2:27 AM"
251053114,"When an item is created in this board, connect the item where *Main contact's email address matches this column in Contacts by this logic","🔴 Connects to exiting contact","","Tyler Manee","active","Jan 9, 2024, 2:27 AM"
251053106,"When an item is created set *Current stage start date to today","🟡 Counts opportunity's stage length","","Tyler Manee","active","Jan 9, 2024, 2:27 AM"
251053107,"When Stage changes, connect the item where *Company matches another column in another board by this logic","🔴 Keeps connectivity ","","Tyler Manee","active","Jan 9, 2024, 2:27 AM"
251053103,"When Deal Value changes, connect the item where *Company matches another column in another board by this logic","🔴 Keeps connectivity ","","Tyler Manee","active","Jan 9, 2024, 2:27 AM"
251053102,"When Case Manager changes, connect the item where the new value matches Rep in ⭐️ Sales Targets by this logic","🟡 Connects deals to relevant rep","","Tyler Manee","active","Jan 9, 2024, 2:27 AM"
251053094,"When Stage changes to anything, set *Current stage start date to current date","🟡 Counts deal's stage length","","Tyler Manee","active","Jan 9, 2024, 2:27 AM"
